tournament_id,year,group_name,team,played,won,drawn,lost,goals_for,goals_against,points,goal_diff,group_rank
WC-2006,2006,Group D,Angola,3,0,2,1,1,2,2,-1,3
WC-2006,2006,Group D,Iran,3,0,1,2,2,6,1,-4,4
WC-2006,2006,Group E,Italy,3,2,1,0,5,1,7,4,1
WC-2006,2006,Group E,Ghana,3,2,0,1,4,3,6,1,2
WC-2006,2006,Group E,Czech Republic,3,1,0,2,3,4,3,-1,3
WC-2006,2006,Group E,United States,3,0,1,2,2,6,1,-4,4
WC-2006,2006,Group F,Brazil,3,3,0,0,7,1,9,6,1
WC-2006,2006,Group F,Australia,3,1,1,1,5,5,4,0,2
WC-2006,2006,Group F,Croatia,3,0,2,1,2,3,2,-1,3
WC-2006,2006,Group F,Japan,3,0,1,2,2,7,1,-5,4
WC-2006,2006,Group G,Switzerland,3,2,1,0,4,0,7,4,1
WC-2006,2006,Group G,France,3,1,2,0,3,1,5,2,2
WC-2006,2006,Group G,South Korea,3,1,1,1,3,4,4,-1,3
WC-2006,2006,Group G,Togo,3,0,0,3,1,6,0,-5,4
WC-2006,2006,Group H,Spain,3,3,0,0,8,1,9,7,1
WC-2006,2006,Group H,Ukraine,3,2,0,1,5,4,6,1,2
WC-2006,2006,Group H,Tunisia,3,0,1,2,3,6,1,-3,3
WC-2006,2006,Group H,Saudi Arabia,3,0,1,2,2,7,1,-5,4
WC-2010,2010,Group A,Uruguay,3,2,1,0,4,0,7,4,1
WC-2010,2010,Group A,Mexico,3,1,1,1,3,2,4,1,2
WC-2010,2010,Group A,South Africa,3,1,1,1,3,5,4,-2,3
WC-2010,2010,Group A,France,3,0,1,2,1,4,1,-3,4
WC-2010,2010,Group B,Argentina,3,3,0,0,7,1,9,6,1
WC-2010,2010,Group B,South Korea,3,1,1,1,5,6,4,-1,2
WC-2010,2010,Group B,Greece,3,1,0,2,2,5,3,-3,3
WC-2010,2010,Group B,Nigeria,3,0,1,2,3,5,1,-2,4
WC-2010,2010,Group C,United States,3,1,2,0,4,3,5,1,1
WC-2010,2010,Group C,England,3,1,2,0,2,1,5,1,2
WC-2010,2010,Group C,Slovenia,3,1,1,1,3,3,4,0,3
WC-2010,2010,Group C,Algeria,3,0,1,2,0,2,1,-2,4
